requirement_id,test_id,source_commit,command,exit_status,evidence_ref,reviewer,status,notes
P3-R001,source-backed handoff,58a283930b30348f34b9c19a0ccb432112521184,source-backed handoff in worktree,0,docs/phase3/IMPLEMENTED_HANDOFF.md,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R002,target/harness heads,58a283930b30348f34b9c19a0ccb432112521184,target/harness worktrees extend Phase 2 heads,0,docs/phase3/IMPLEMENTED_HANDOFF.md,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R003,scope ledger,58a283930b30348f34b9c19a0ccb432112521184,scope ledger and external-action limits,0,docs/evidence/phase3-completion-report-20260910.md,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R004,legacy gates,58a283930b30348f34b9c19a0ccb432112521184,cargo test --workspace --all-targets --all-features --locked,0,docs/evidence/phase3-completion-report-20260910.md,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R005,closed contracts,58a283930b30348f34b9c19a0ccb432112521184,contracts/context-memory/*; phase3 tests,0,contracts/context-memory/*; tests/phase3_memory.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R006,memory_binding_and_phase2_revision_commit_as_one_transaction,8e52da837ae0a23cea18d7cd3d5164765911e6b6,cargo test --locked --test phase2_durable memory_binding_and_phase2_revision_commit_as_one_transaction -- --exact,0,tests/phase2_durable.rs; docs/evidence/phase3-adapter-demo-20260911.json,root/self-review,executed_synthetic,target SQLite binding and Phase 2 revision commit are atomic and idempotent in the offline adapter fixture; does not prove live/native integration
P3-R007,independent causal fixture,58a283930b30348f34b9c19a0ccb432112521184,phase3_oracle.rs; phase3_memory.rs,0,crates/harness/tests/phase3_oracle.rs; crates/harness/tests/phase3_memory.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R008,independent oracle,58a283930b30348f34b9c19a0ccb432112521184,phase3_oracle.rs,0,crates/harness/tests/phase3_oracle.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R009,held-out partition,58a283930b30348f34b9c19a0ccb432112521184,held_out_labels_are_private_and_cutoff_scope_is_rechecked,0,crates/harness/tests/phase3_oracle.rs; crates/harness/src/context_memory/evaluation.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R010,epistemic wire types,58a283930b30348f34b9c19a0ccb432112521184,retrieval types and serialization tests,0,crates/harness/src/context_memory/retrieval_types.rs; crates/harness/tests/phase3_memory.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R011,occurrence identity,58a283930b30348f34b9c19a0ccb432112521184,equal_content_reuses_one_blob_but_preserves_occurrence_identity,0,crates/harness/tests/phase3_lifecycle_extra.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R012,bounded provenance,58a283930b30348f34b9c19a0ccb432112521184,parent/lineage validation,0,crates/harness/src/context_memory/core.rs; crates/harness/tests/phase3_memory.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R013,idempotent admission,58a283930b30348f34b9c19a0ccb432112521184,changed identity conflicts and publication is atomic,0,crates/harness/src/context_memory/tests.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R014,publication failpoint,58a283930b30348f34b9c19a0ccb432112521184,publication failpoint test,0,crates/harness/src/context_memory/tests.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R015,disabled corpus,58a283930b30348f34b9c19a0ccb432112521184,disabled and no-corpus path,0,crates/harness/src/context_memory/corpus.rs; crates/harness/tests/phase3_memory.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R016,revocation fence,58a283930b30348f34b9c19a0ccb432112521184,revocation denial before cleanup,0,crates/harness/src/context_memory/tests.rs; crates/harness/tests/phase3_lifecycle.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R017,finite cleanup,58a283930b30348f34b9c19a0ccb432112521184,retention cleanup accounts bodies/indexes/caches/tombstones,0,crates/harness/tests/phase3_lifecycle_extra.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
P3-R018,restore revocation,58a283930b30348f34b9c19a0ccb432112521184,restore and durable reload revocation tests,0,crates/harness/tests/phase3_lifecycle.rs; crates/harness/tests/phase3_persistence.rs,root/self-review,executed_synthetic,bounded deterministic/source-backed evidence; does not prove live/native integration
